st_gene_id,gene_id,gene_symbol,fpkm_ato1,fpkm_ato2,fpkm_ato3,fpkm_db1,fpkm_db2,fpkm_db3,tpm_ato1,tpm_ato2,tpm_ato3,tpm_db1,tpm_db2,tpm_db3,read_count_ato1,read_count_ato2,read_count_ato3,read_count_db1,read_count_db2,read_count_db3,average_fpkm_ato10,average_fpkm_db,average_tpm_ato10,average_tpm_db,average_read_count_ato10,average_read_count_db
G10090_16964,192119,Dicer1,5.17,6.06,5.56,6.05,6.38,5.74,7.44,9.98,9.04,10.53,10.55,9.61,732,862,698,756,698,691,5.596666667,6.056666667,8.82,10.23,764,715
G10090_16507,68188,Sympk,22.46,20.31,21.26,26.55,20.35,25.58,32.35,33.45,34.58,46.2,33.68,42.85,1304,1184,1110,1384,922,1262,21.34333333,24.16,33.46,40.91,1199.333333,1189.333333
G10090_11659,56149,Grasp,6.75,3.38,4.29,2.71,4.75,2.95,9.72,5.56,6.97,4.72,7.86,4.94,184,92,105,66,101,68,4.806666667,3.47,7.416666667,5.84,127,78.33333333
G10090_16755,264064,Cdk8,20.2,22.26,24.01,21,20.6,19.68,29.09,36.67,39.06,36.55,34.09,32.97,747,829,810,717,604,632,22.15666667,20.42666667,34.94,34.53666667,795.3333333,651
G10090_17215,18158,Nppb,0.11,0.14,0.37,0,0,0,0.16,0.23,0.6,0,0,0,1,1,3,0,0,0,0.206666667,0,0.33,0,1.666666667,0
G10090_15471,69155,1810030O07Rik,11.62,11.66,10.05,10.77,11.75,10.39,16.73,19.2,16.36,18.75,19.45,17.4,437,448,346,370,353,334,11.11,10.97,17.43,18.53333333,410.3333333,352.3333333
G10090_5189,216560,Wdpcp,3.63,4.46,4.34,5.36,5.64,5.6,5.23,7.35,7.07,9.33,9.33,9.37,123,150,133,169,152,165,4.143333333,5.533333333,6.55,9.343333333,135.3333333,162
G10090_18430,18946,Pnliprp1,0,0.47,0.42,0.52,0.24,0.39,0,0.77,0.68,0.91,0.4,0.65,0,10,8,10,4,7,0.296666667,0.383333333,0.483333333,0.653333333,6,7
G10090_11345,27407,Abcf2,25.49,25.25,27.57,26.84,23.41,27.67,36.71,41.59,44.84,46.72,38.75,46.35,904,898,877,853,648,831,26.10333333,25.97333333,41.04666667,43.94,893,777.3333333
G10090_759,22221,Ubp1,30.37,27.22,20.97,22.42,20.92,19.69,43.75,44.83,34.12,39.01,34.63,32.98,1482.8,1385,953.98,1019,828.95,846.98,26.18666667,21.01,40.9,35.54,1273.926667,898.31
G10090_27233,26367,Ceacam2,1,9.39,25.64,43.22,10.27,26.45,1.43,15.47,41.71,75.21,17,44.31,44.8,425.06,1037.09,1747.12,362.01,1011.9,12.01,26.64666667,19.53666667,45.50666667,502.3166667,1040.343333
G10090_13936,394432,Ugt1a7c,34.44,146.39,216,172.18,186.43,247.98,49.6,241.13,351.36,299.65,308.53,415.37,1579.35,6738.63,8899.11,7084.6,6665.97,9661.86,132.2766667,202.1966667,214.03,341.1833333,5739.03,7804.143333
G10090_7892,68394,Ccdc163,7.68,5.9,4.54,4.31,10.03,5.07,11.07,9.72,7.39,7.5,16.6,8.49,144.39,109.08,83.93,82,141,81,6.04,6.47,9.393333333,10.86333333,112.4666667,101.3333333
G10090_20125,53951,Gpatch11,3.5,3.94,4.18,4.11,4.31,3.79,5.04,6.48,6.81,7.15,7.13,6.34,207,234,222,218,199,190,3.873333333,4.07,6.11,6.873333333,221,202.3333333
G10090_17825,243771,Parp12,9.35,10.36,7.29,5.83,8.37,6.37,13.47,17.06,11.85,10.15,13.85,10.67,420,467,294,235,293,243,9,6.856666667,14.12666667,11.55666667,393.6666667,257
G10090_7169,214763,Cgas,0.52,0.57,0.23,0.21,0.33,0.18,0.75,0.94,0.38,0.37,0.55,0.31,30,33,12,11,15,9,0.44,0.24,0.69,0.41,25,11.66666667
G10090_5152,225743,Rnf165,0.09,0.03,0.02,0.04,0.02,0.05,0.12,0.05,0.03,0.07,0.04,0.08,9,3,2,4,2,4,0.046666667,0.036666667,0.066666667,0.063333333,4.666666667,3.333333333
G10090_32621,71837,1700003E16Rik,1.23,1.01,1.17,0.81,1.62,1.57,1.77,1.66,1.9,1.4,2.68,2.64,34,28,29,20,35,37,1.136666667,1.333333333,1.776666667,2.24,30.33333333,30.66666667
G10090_6296,72016,Tedc2,2,2.04,1.66,1.22,1.86,1.85,2.88,3.36,2.7,2.12,3.08,3.1,55,55,43,28,41,43,1.9,1.643333333,2.98,2.766666667,51,37.33333333
G10090_3382,77531,Anks1b,0.05,0.02,0.03,0.16,0.03,0.14,0.07,0.03,0.06,0.28,0.05,0.23,3,1,2,8,1,5,0.033333333,0.11,0.053333333,0.186666667,2,4.666666667
G10090_32383,77573,Vps33a,12.05,14.8,14.29,17.49,17.74,16.75,17.36,24.38,23.24,30.44,29.36,28.06,755,902,791,971,843,925,13.71333333,17.32666667,21.66,29.28666667,816,913
G10090_9879,19207,Ptch2,1.33,0.59,0.92,0.38,0.5,0.28,1.91,0.97,1.5,0.66,0.83,0.46,71,30,43,21,22,14,0.946666667,0.386666667,1.46,0.65,48,19
G10090_6901,74480,Samd4,2.28,2,1.13,1.01,0.88,0.69,3.29,3.3,1.83,1.76,1.46,1.15,196,169,86,82,59,52,1.803333333,0.86,2.806666667,1.456666667,150.3333333,64.33333333
G10090_33980,232855,Zfp772,2.93,2.37,2.56,2.92,2.92,2.4,4.22,3.91,4.17,5.08,4.83,4.02,112,91,88,100,87,78,2.62,2.746666667,4.1,4.643333333,97,88.33333333
G10090_16449,78937,Avl9,5.35,6.61,6.04,7.93,6.52,6.13,7.7,10.89,9.82,13.81,10.78,10.27,452,569,469,617,442,449,6,6.86,9.47,11.62,496.6666667,502.6666667
G10090_17890,666704,Samd1,16.98,15.31,15,13.2,15.3,12.54,24.46,25.21,24.4,22.97,25.31,21,476,430,377,331,334,298,15.76333333,13.68,24.69,23.09333333,427.6666667,321
G10090_16579,16416,Itgb3,4.59,2.24,0.57,0.53,1.14,0.34,6.6,3.69,0.92,0.92,1.89,0.58,378,185,42,39,73,24,2.466666667,0.67,3.736666667,1.13,201.6666667,45.33333333
G10090_24344,105246828,Gm42052,0.52,0.64,0,0.56,0,0,0.74,1.05,0,0.98,0,0,5.27,6.5,0,5.06,0,0,0.386666667,0.186666667,0.596666667,0.326666667,3.923333333,1.686666667
G10090_27657,171531,Mlph,6.18,7.84,3.42,2.81,6.69,4.39,8.9,12.92,5.57,4.89,11.07,7.36,382,486,173,137,305,214,5.813333333,4.63,9.13,7.773333333,347,218.6666667
G10090_12144,11941,Atp2b2,0.38,0.14,0.35,0.79,0.67,0.46,0.54,0.23,0.58,1.38,1.11,0.77,37,14,32,75,54,41,0.29,0.64,0.45,1.086666667,27.66666667,56.66666667
G10090_7365,50878,Stag3,0.06,0.23,0.03,0.03,0.04,0,0.08,0.38,0.05,0.06,0.06,0,2,8,1,1,1,0,0.106666667,0.023333333,0.17,0.04,3.666666667,0.666666667
G10090_2640,14312,Brd2,65.65,59.4,56.6,59.19,58.15,52.63,94.57,97.85,92.07,103.01,96.22,88.15,2874,2634,2323,2482,2069,2095,60.55,56.65666667,94.83,95.79333333,2610.333333,2215.333333
G10090_12927,241688,Dzank1,0.37,0.56,0.6,0.84,1.1,0.91,0.54,0.93,0.98,1.46,1.82,1.52,35,55,51,73,81,74,0.51,0.95,0.816666667,1.6,47,76
G10090_1658,68721,1110032A03Rik,20.46,28.98,40.89,35.67,38.39,37.84,29.47,47.73,66.51,62.08,63.53,63.38,465,665,846,737,683,743,30.11,37.3,47.90333333,62.99666667,658.6666667,721
G10090_25349,13643,Efnb3,0.18,0.13,0.05,0.12,0.2,0.08,0.26,0.22,0.08,0.21,0.33,0.14,8,6,2,6,8,4,0.12,0.133333333,0.186666667,0.226666667,5.333333333,6
G10090_15144,75731,Idnk,19.92,21.07,15.42,11.73,15.66,15.79,28.7,34.7,25.09,20.42,25.92,26.45,385,408,268,204,237,260,18.80333333,14.39333333,29.49666667,24.26333333,353.6666667,233.6666667
G10090_27960,102640673,LOC102640673,2.4,3.61,2.5,3.19,3.25,2.8,3.45,5.94,4.07,5.55,5.38,4.69,87.68,132.41,82.09,104.5,92.66,86.97,2.836666667,3.08,4.486666667,5.206666667,100.7266667,94.71
G10090_6329,268288,Samd3,0.09,0,0,0,0.08,0,0.13,0,0,0,0.13,0,3,0,0,0,2,0,0.03,0.026666667,0.043333333,0.043333333,1,0.666666667
G10090_14354,77219,Ptgr2,26.94,40.05,49.83,56.28,51.47,58.36,38.81,65.96,81.06,97.94,85.18,97.76,1159,1737,1933,2177,1734,2138,38.94,55.37,61.94333333,93.62666667,1609.666667,2016.333333
G10090_15607,67016,Tbc1d2b,10.2,4.64,3.56,2.96,3.85,3.47,14.69,7.64,5.79,5.15,6.37,5.81,824,377,262,216,243,239,6.133333333,3.426666667,9.373333333,5.776666667,487.6666667,232.6666667
G10090_9596,171207,Arhgap4,9.89,2.5,1.53,1.17,1.59,1.57,14.25,4.12,2.49,2.04,2.63,2.63,402,107,59,47,57,61,4.64,1.443333333,6.953333333,2.433333333,189.3333333,55
G10090_29764,100040563,Dynlt1c,167.66,146.23,104.56,80.21,117.47,112.25,241.51,240.86,170.09,139.59,194.4,188.02,1331.97,1152.39,736.22,560.03,722.62,745.64,139.4833333,103.31,217.4866667,174.0033333,1073.526667,676.0966667
G10090_13188,64297,Gprc5b,6.15,2.47,4.09,5.86,4.28,6.08,8.85,4.06,6.65,10.2,7.08,10.19,392.24,158,234.55,336,213,329.99,4.236666667,5.406666667,6.52,9.156666667,261.5966667,292.9966667
G10090_20594,243382,Ppm1k,2.31,2.83,5.12,5.21,5.84,7.86,3.33,4.66,8.32,9.07,9.67,13.17,170.53,217,343.01,343,346,508.99,3.42,6.303333333,5.436666667,10.63666667,243.5133333,399.33
G10090_16418,329679,Fnip2,10.97,13.92,12.98,12.03,11.86,12.27,15.8,22.93,21.11,20.93,19.63,20.56,1112.42,1414,1181.99,1094,941,1056.06,12.62333333,12.05333333,19.94666667,20.37333333,1236.136667,1030.353333
