gene	RK10.3	RK11.3	RK12.2	RK12.3	RK7.1	RK7.2	RK8.1	RK8.2	RK2.1	RK2.2	RK3.1	RK3.2	RK4.1	RK4.2	RK6.1	RK6.2
ENSRNOG00000000161	2.8	2.93	3.97	4.01	6.41	6.39	2.44	5.71	3.06	4.62	2.66	2.63	7.52	5.34	5.31	6.28
ENSRNOG00000000164	134.76	116.44	143.77	155.33	190.74	167.84	140.88	160.89	157.57	171.23	121.8	131.87	198.14	183.52	183.39	158.01
ENSRNOG00000000165	0	0.28	0	0	0.79	0.81	1.22	0.52	0.2	0.29	0.18	0.31	0.41	0.96	0.11	0.3
ENSRNOG00000000166	1.56	2.28	2.24	2.35	4.16	4.16	3.22	4.07	2.55	3.03	3.04	4.02	4.27	4.64	3.8	5.02
ENSRNOG00000000167	0.83	1.09	0.79	1.47	0.38	0	0	0.28	0.09	0.09	0.24	0.27	0	3.91	0	0.2
ENSRNOG00000000168	1223.92	1257.46	1440.66	1203.87	1544.53	1230.52	404.69	1185.68	1438.43	1625.81	1306.39	1319.12	949.9	1446.49	1129.67	1447.55
ENSRNOG00000000169	2.83	2.74	2.58	3.5	4.71	3.73	2.59	3.99	2.72	4.13	2.96	2.86	3.84	3.92	4.59	3.48
ENSRNOG00000000170	8.74	8.24	10.22	10.06	12.82	13.3	10.15	10.46	8.77	9.91	8.2	8.76	12.86	11.64	11.87	12.23
ENSRNOG00000000172	12.77	11.12	7	15.11	10.92	15.41	12.77	18.49	9.4	11.78	7.67	9.34	10.33	10.8	18.24	19.2
ENSRNOG00000000175	4.35	4.52	4.05	2.68	7.48	5.19	7.66	4.99	4.37	5.47	4.2	5.98	3.67	6.42	3.8	5.29
ENSRNOG00000000177	33.89	40.45	33.31	34.91	55.23	48.84	66.17	50.86	36.88	43.18	38.71	40.74	58.58	59.44	52.07	56.42
ENSRNOG00000000184	0	0.05	0	0.05	0	0.05	0.1	0.05	0	0	0	0	0	0.05	0.11	0.11
ENSRNOG00000000185	258.3	222.36	247.23	212.22	183.53	199.53	162.48	201.66	243.18	206.63	224.94	224.16	180.95	204.86	224.37	217.79
ENSRNOG00000000186	461.78	457.39	488.16	438.02	363.74	385.25	317.26	376.37	457.89	519.94	456.97	500.12	361.78	401.2	501.61	515.07
