Symbol	Predisone_2_35_norm
1700047E10Rik	6.969131605
1700049G17Rik	8.636087478
1700052K11Rik	9.14186614
1700052N19Rik	9.034087047
1700055N04Rik	5.994222586
1700063D05Rik	5.780097781
1700066M21Rik	8.769236788
1700067K01Rik	6.511281022
1700067P10Rik	6.306166592
1700071K01Rik	9.29863292
1700073E17Rik	10.14467021
1700084J12Rik	7.794453074
1700088E04Rik	8.275792943
1700091H14Rik	5.836681309
1700094D03Rik	8.933903117
1700096K18Rik	7.570869819
1700097N02Rik	6.440022339
1700101I11Rik	6.265524608
1700112E06Rik	8.965964326
1700113A16Rik	8.997328497
1700123O12Rik	7.124926278
1700123O20Rik	10.43086234
1810009A15Rik	9.311754331
1810010H24Rik	7.147468846
1810011H11Rik	5.917601304
1810011O10Rik	10.73149907
1810013L24Rik	11.2467249
1810014B01Rik	8.453654205
1810019D21Rik	10.47233527
1810021B22Rik	7.554094106
1810022K09Rik	9.981731642
1810026B05Rik	9.796237483
1810026J23Rik	11.46154705
1810030O07Rik	10.46042214
1810032O08Rik	8.761432387
1810034E14Rik	6.59567321
1810037I17Rik	10.87095121
1810041L15Rik	7.18063571
1810043G02Rik	10.36385753
1810043H04Rik	9.169664593
1810044D09Rik	7.620057368
1810055G02Rik	8.847048025
1810058I24Rik	10.96762097
1810065E05Rik	5.528559014
2010001E11Rik	6.794453074
2010002M12Rik	6.476091594
2010003K11Rik	7.636087478
2010012O05Rik	9.283446516
2010015L04Rik	7.745447529
2010107E04Rik	11.94158242
2010107G12Rik	6.891129093
2010107G23Rik	8.554094106
2010111I01Rik	8.677455444
2010300C02Rik	7.124926278
2010315B03Rik	10.08894623
2010320M18Rik	8.667623051
2200002D01Rik	8.102025876
2210011C24Rik	8.877708577
2210013O21Rik	8.620057368
2210015D19Rik	9.417012361
2210016F16Rik	10.73336302
2210016L21Rik	10.770145
2210018M11Rik	9.894464806
2210039B01Rik	7.393629434
2210404O09Rik	7.611975022
2210408F21Rik	6.883757251
2210408I21Rik	8.904425916
2300009A05Rik	8.853918014
2310001H17Rik	9.127448883
2310003H01Rik	9.40536827
2310007B03Rik	8.163766275
2310009A05Rik	8.260362903
2310009B15Rik	7.870951211
2310010J17Rik	7.114792612
2310011J03Rik	10.38654001
2310014L17Rik	6.736154433
2310015A10Rik	9.255182664
2310022A10Rik	7.967019312
2310022B05Rik	11.31863594
2310030G06Rik	10.08168543
2310033P09Rik	8.994222586
2310035C23Rik	10.88479522
2310036O22Rik	11.63658556
2310039H08Rik	9.709888778
2310045N01Rik	9.659803547
2310047M10Rik	9.556201769
2310057J18Rik	8.031059354
2310057M21Rik	8.07287953
2310061I04Rik	10.87010431
2310061J03Rik	7.493793596
2310067B10Rik	12.41323833
2410002F23Rik	10.52102534
2410004B18Rik	8.864162046
2410004N09Rik	8.72931806
2410006H16Rik	9.75829341
2410015M20Rik	11.91431872
2410016O06Rik	8.524258876
2410017I17Rik	7.511281022
2410089E03Rik	10.59054088
2410127L17Rik	10.35661992
2410131K14Rik	9.626089551
2500004C02Rik	8.02498484
2510002D24Rik	9.911028651
2510003E04Rik	11.18472846
2510009E07Rik	10.35541011
2510039O18Rik	11.770145
2510049J12Rik	8.611975022
2610001J05Rik	10.58022113
2610002J02Rik	9.576571441
2610002M06Rik	10.13764979
2610005L07Rik	10.93714149
2610008E11Rik	10.33591394
