Symbol	Vehicle_2_36_norm
2610002J02Rik	9.785172361
2610002M06Rik	10.68504622
2610005L07Rik	10.37603751
2610008E11Rik	9.601373675
2610015P09Rik	9.01537289
2610018G03Rik	7.954920374
2610020H08Rik	8.346937037
2610027K06Rik	5.775214351
2610028H24Rik	5.160504507
2610034B18Rik	11.22861098
2610034M16Rik	6.408432021
2610044O15Rik8	8.741705089
2610203C20Rik	8.030869227
2610203C22Rik	5.518056512
2610301B20Rik	10.36995787
2610306M01Rik	7.464285255
2610318N02Rik	7.526826721
2610507B11Rik	13.94114679
2610507I01Rik	7.137784431
2610528J11Rik	9.646333816
2700029M09Rik	9.646333816
2700046A07Rik	4.915392009
2700046G09Rik	6.832929849
2700049A03Rik	8.82397377
2700054A10Rik	7.153514394
2700060E02Rik	12.14492297
2700062C07Rik	8.59929636
2700081O15Rik	10.50701824
2700089E24Rik	11.8205004
2700094K13Rik	9.14498412
2700097O09Rik	7.891723691
2700099C18Rik	6.941864221
2810001G20Rik	7.974285698
2810002D19Rik	7.445906726
2810004N23Rik	10.24398383
2810006K23Rik	8.987052994
2810008D09Rik	8.730360115
2810013P06Rik	8.97748813
2810021J22Rik	8.464285255
2810025M15Rik	9.730360115
2810029C07Rik	7.436628912
2810032G03Rik	5.967859429
2810047C21Rik1	6.091241845
2810403A07Rik	11.85486239
2810408A11Rik	8.445906726
2810408M09Rik	9.146346444
2810410L24Rik	6.760417349
2810417H13Rik	8.330429509
2810428I15Rik	10.62402888
2810474O19Rik	11.75202499
2900005J15Rik	7.389323198
2900009J06Rik	5.715093359
2900026A02Rik	10.72846058
2900076A07Rik	6.81871599
2900092D14Rik	8.996554862
2900097C17Rik	13.57175066
3000002C10Rik	9.372392802
3010026O09Rik	7.722746931
3110001I22Rik	7.473387462
3110002H16Rik	9.895214127
3110021N24Rik	6.730360115
3110035E14Rik	6.847005034
3110040N11Rik	8.871310941
3110043O21Rik	9.900285117
3110052M02Rik	8.210353057
3110056K07Rik	8.59929636
3110057O12Rik	8.491421385
3110062M04Rik	6.67549318
3110079O15Rik	6.445906726
3110082I17Rik	8.237320104
