Reporter Identifier	T00247073 normalised intensity	T00247073 quality flag
GE1102760	9.863	GOOD
GE1102770	1.323	GOOD
GE1102784	0.154	EMPTY
GE1102806	0.901	GOOD
GE1102809	0.133	EMPTY
GE1102812	1.771	GOOD
GE1102817	2.471	GOOD
GE1102826	2.921	GOOD
GE1102827	0.378	EMPTY
GE1102835	45.878	GOOD
GE1102862	0.59	EMPTY
GE1102864	0.175	EMPTY
GE1102884	0.154	EMPTY
GE1102886	4.5	GOOD
GE1102905	0.069	EMPTY
GE1102907	1.598	GOOD
GE1102914	0.218	EMPTY
GE1102915	0.283	EMPTY
GE1102919	0.357	EMPTY
GE1102944	0.868	GOOD
GE1102946	0.148	EMPTY
GE1102947	0.155	EMPTY
GE1102956	10.69	GOOD
GE1102965	0.294	EMPTY
GE1102983	0.517	EMPTY
GE1102995	4.381	GOOD
GE1102996	0.967	GOOD
GE1103006	6.344	GOOD
GE1103035	2.18	GOOD
GE1103039	1.336	GOOD
GE1103042	0.134	EMPTY
GE1103044	3.278	GOOD
GE1103052	0.102	EMPTY
GE1103056	4.706	GOOD
GE1103078	41.369	GOOD
GE1103079	0.194	EMPTY
GE1103084	0.128	EMPTY
GE1103091	0.191	EMPTY
GE1103092	2.315	GOOD
GE1103095	0.171	EMPTY
GE1103097	0.376	EMPTY
GE1103100	0.195	EMPTY
GE1103108	0.227	EMPTY
GE1103116	1.306	GOOD
GE1103126	6.261	POOR
GE1103141	0.076	EMPTY
GE1103153	0.824	GOOD
GE1103159	0.214	EMPTY
GE1103162	0.181	EMPTY
GE1103173	0.453	EMPTY
GE1103185	5.671	GOOD
GE1103205	21.929	GOOD
GE1103219	0.192	EMPTY
GE1103230	0.772	GOOD
GE1103238	1.111	GOOD
GE1103241	0.336	EMPTY
GE1103252	0.332	EMPTY
GE1103255	0.134	EMPTY
GE1103261	0.231	EMPTY
GE1103262	3.005	GOOD
GE1103266	0.194	EMPTY
GE1103270	3.343	GOOD
GE1103282	0.389	EMPTY
GE1103283	0.119	EMPTY
GE1103289	1.121	GOOD
GE1103292	0.062	EMPTY
GE1103304	6.816	GOOD
GE1103305	93.103	GOOD
GE1103310	5.357	GOOD
GE1103357	2.52	GOOD
GE1103365	1.293	GOOD
GE1103376	2.763	GOOD
GE1103389	0.129	EMPTY
GE1103391	0.212	EMPTY
GE1103406	0.294	EMPTY
GE1103413	31.016	GOOD
GE1103424	1.164	GOOD
GE1103429	0.163	EMPTY
GE1103433	38.769	GOOD
GE1103441	1.05	GOOD
GE1103458	0.15	EMPTY
GE1103478	0.088	EMPTY
GE1103490	7.203	GOOD
GE1103491	0.292	EMPTY
GE1103492	8.469	GOOD
GE1103505	1.02	GOOD
GE1103522	8.843	GOOD
GE1103523	0.265	EMPTY
GE1103524	0.131	EMPTY
GE1103529	0.98	GOOD
GE1103531	1.479	GOOD
GE1103532	2.685	GOOD
GE1103550	0.075	EMPTY
GE1103552	0.271	EMPTY
GE1103557	0.458	EMPTY
GE1103578	0.121	EMPTY
GE1103605	4.817	GOOD
GE1103606	0.115	EMPTY
GE1103614	0.314	EMPTY
GE1103615	0.35	EMPTY
GE1103623	0.333	EMPTY
GE1103633	0.262	EMPTY
GE1103635	2.437	GOOD
GE1103641	0.099	EMPTY
GE1103644	0.099	EMPTY
GE1103679	NA	MSR
GE1103681	4.867	GOOD
GE1103689	8.52	GOOD
GE1103698	0.145	EMPTY
GE1103709	0.69	GOOD
GE1103717	0.486	EMPTY
GE1103739	1.524	GOOD
GE1103753	4.102	GOOD
GE1103758	0.37	EMPTY
GE1103759	0.271	EMPTY
GE1103764	0.227	EMPTY
GE1103791	1.374	GOOD
GE1103796	0.463	EMPTY
GE1103797	0.631	GOOD
GE1103809	0.409	EMPTY
GE1103811	0.256	EMPTY
GE1103814	1.419	GOOD
GE1103820	1.146	GOOD
GE1103826	0.991	GOOD
GE1103828	1.449	GOOD
GE1103845	2.088	GOOD
GE1103849	0.777	GOOD
GE1103865	0.197	EMPTY
GE1103867	0.711	GOOD
GE1103868	0.766	GOOD
GE1103870	0.242	EMPTY
GE1103875	2.528	GOOD
GE1103901	0.394	EMPTY
GE1103905	1.982	GOOD
GE1103910	0.271	EMPTY
GE1103914	0.72	GOOD
GE1103915	1.56	GOOD
GE1103924	0.285	EMPTY
GE1103943	2.131	GOOD
GE1103948	2.888	GOOD
GE1103952	0.333	EMPTY
GE1103964	3.776	GOOD
GE1103965	0.622	GOOD
GE1103991	12.91	GOOD
GE1103994	0.088	EMPTY
GE1104000	12.533	GOOD
GE1104007	0.832	GOOD
GE1104016	-0.045	NEGATIVE
GE1104017	4.353	GOOD
GE1104027	0.167	EMPTY
GE1104034	1.08	GOOD
GE1104044	0.275	EMPTY
GE1104048	0.294	EMPTY
GE1104067	6.145	GOOD
GE1104073	22.305	GOOD
GE1104090	0.189	EMPTY
GE1104096	1.377	GOOD
GE1104101	1.334	GOOD
GE1104103	4.827	GOOD
GE1104104	7.291	GOOD
GE1104121	3.457	GOOD
GE1104122	24.905	GOOD
GE1104124	0.471	EMPTY
GE1104139	6.985	GOOD
GE1104153	0.486	EMPTY
GE1104162	0.598	GOOD
GE1104171	0.193	EMPTY
GE1104185	6.512	GOOD
GE1104203	0.258	EMPTY
GE1104210	0.24	EMPTY
GE1104216	3.357	GOOD
GE1104220	2.111	GOOD
GE1104238	0.265	EMPTY
GE1104239	1.106	GOOD
GE1104242	0.217	EMPTY
GE1104244	0.103	EMPTY
GE1104256	0.139	EMPTY
GE1104269	0.174	EMPTY
GE1104278	0.165	EMPTY
GE1104279	0.013	EMPTY
GE1104285	1.088	GOOD
GE1104289	0.274	EMPTY
GE1104301	1.465	GOOD
GE1104303	0.075	EMPTY
GE1104308	0.71	GOOD
GE1104317	0.3	EMPTY
GE1104347	-0.031	NEGATIVE
GE1104348	0.294	EMPTY
GE1104363	0.78	GOOD
GE1104366	1.913	GOOD
GE1104370	0.883	GOOD
GE1104371	2.727	GOOD
GE1104373	125.912	GOOD
GE1104401	16.477	GOOD
GE1104405	0.376	EMPTY
GE1104416	0.538	GOOD
GE1104423	0.174	EMPTY
GE1104425	0.17	EMPTY
GE1104433	0.192	EMPTY
GE1104448	4.323	GOOD
GE1104464	2.966	GOOD
GE1104467	1.02	GOOD
GE1104471	4.041	GOOD
GE1104482	0.595	GOOD
GE1104489	0.772	GOOD
GE1104493	0.113	EMPTY
GE1104514	1.251	GOOD
GE1104517	0.295	EMPTY
GE1104531	4.853	GOOD
GE1104534	1.256	GOOD
GE1104541	1.625	GOOD
GE1104545	0.06	EMPTY
GE1104550	2.685	GOOD
GE1104564	0.24	EMPTY
GE1104583	3.61	GOOD
GE1104587	0.377	EMPTY
GE1104601	1.305	GOOD
GE1104607	0.14	EMPTY
GE1104608	1.663	GOOD
GE1104610	0.144	EMPTY
GE1104619	0.005	EMPTY
GE1104649	0.505	EMPTY
GE1104656	3.217	GOOD
GE1104662	0.654	GOOD
GE1104671	9.792	GOOD
GE1104678	0.653	GOOD
GE1104681	32.391	GOOD
GE1104683	0.148	EMPTY
GE1104688	5.199	GOOD
GE1104692	11.747	GOOD
GE1104698	0.596	GOOD
GE1104703	0.413	EMPTY
GE1104705	0.186	EMPTY
GE1104719	0.331	EMPTY
GE1104727	0.366	EMPTY
GE1104731	0.053	EMPTY
GE1104733	2.333	GOOD
GE1104737	2.371	GOOD
GE1104759	0.49	GOOD
GE1104785	17.795	GOOD
GE1104790	0.247	EMPTY
GE1104792	3.91	GOOD
GE1104803	3.817	GOOD
GE1104805	0.226	EMPTY
GE1104825	0.059	EMPTY
GE1104826	1.129	GOOD
GE1104865	2.12	GOOD
GE1104869	0.351	EMPTY
GE1104872	1.027	GOOD
GE1104885	0.322	EMPTY
GE1104887	0.25	EMPTY
GE1104894	2.629	GOOD
GE1104900	0.15	EMPTY
GE1104916	2.13	GOOD
GE1104918	0.189	EMPTY
GE1104928	0.046	EMPTY
GE1104940	0.838	GOOD
GE1104943	0.175	EMPTY
GE1104952	0.231	EMPTY
GE1104958	1.728	GOOD
GE1104964	6.085	GOOD
GE1104972	1.67	GOOD
GE1104985	0.39	EMPTY
GE1104989	1.704	GOOD
GE1104994	0.232	EMPTY
GE1105012	2.16	GOOD
GE1105016	1.6	GOOD
GE1105019	1.176	GOOD
GE1105029	4.535	GOOD
GE1105052	0.259	EMPTY
GE1105058	3.283	GOOD
GE1105078	1.476	GOOD
GE1105080	0.049	EMPTY
GE1105085	10.192	GOOD
GE1105086	11.15	GOOD
GE1105101	1.08	GOOD
GE1105106	3.862	GOOD
GE1105115	3.142	GOOD
GE1105117	0.747	GOOD
GE1105134	0.775	GOOD
GE1105140	4.631	GOOD
GE1105151	4.344	GOOD
GE1105158	0.135	EMPTY
GE1105168	0.225	EMPTY
GE1105170	0.243	EMPTY
GE1105171	0.191	EMPTY
GE1105178	0.271	EMPTY
GE1105213	1.628	GOOD
GE1105220	1.951	GOOD
GE1105221	3.88	GOOD
GE1105222	0.131	EMPTY
GE1105232	8.956	GOOD
GE1105248	1.192	GOOD
GE1105255	0.473	EMPTY
GE1105257	0.215	EMPTY
GE1105283	26.018	GOOD
GE1105286	0.178	EMPTY
GE1105292	0.093	EMPTY
GE1105300	2.23	GOOD
GE1105303	0.119	EMPTY
GE1105317	1.874	GOOD
GE1105323	2.789	GOOD
GE1105356	0.121	EMPTY
GE1105372	0.028	EMPTY
GE1105391	0.593	GOOD
GE1105405	1.287	GOOD
GE1105422	2.729	GOOD
GE1105432	0.06	EMPTY
GE1105433	1.209	GOOD
GE1105438	12.622	GOOD
GE1105443	3.239	GOOD
GE1105445	14.482	GOOD
GE1105456	32.051	GOOD
GE1105472	8.026	GOOD
GE1105475	0.141	EMPTY
GE1105479	0.4	EMPTY
GE1105483	0.468	EMPTY
GE1105486	4.859	GOOD
GE1105505	0.682	GOOD
GE1105508	13.136	GOOD
GE1105542	0.172	EMPTY
GE1105553	0.145	EMPTY
GE1105558	0.429	EMPTY
GE1105562	0.279	EMPTY
GE1105583	7.327	GOOD
GE1105592	0.042	EMPTY
GE1105595	0.157	EMPTY
GE1105600	0.48	EMPTY
GE1105607	0.143	EMPTY
GE1105608	0.986	GOOD
GE1105614	1.724	GOOD
GE1105647	0.324	EMPTY
GE1105653	11.03	GOOD
GE1105654	1.635	GOOD
GE1105673	0.149	EMPTY
GE1105681	0.207	EMPTY
GE1105692	0.132	EMPTY
GE1105693	3.264	GOOD
GE1105694	0.208	EMPTY
GE1105697	0.151	EMPTY
GE1105700	1.355	GOOD
GE1105710	59.292	GOOD
GE1105712	0.253	EMPTY
GE1105739	4.418	GOOD
GE1105748	22.314	GOOD
GE1105754	0.927	GOOD
GE1105756	0.355	EMPTY
GE1105768	0.66	GOOD
GE1105779	1.401	GOOD
GE1105782	3.596	GOOD
GE1105784	0.224	EMPTY
GE1105810	11.282	GOOD
GE1105811	0.339	EMPTY
GE1105814	0.027	EMPTY
GE1105832	0.095	EMPTY
GE1105835	3.635	GOOD
GE1105853	0.156	EMPTY
GE1105855	0.738	GOOD
GE1105860	3.394	GOOD
GE1105875	0.976	GOOD
GE1105878	0.219	EMPTY
GE1105885	0.145	EMPTY
GE1105887	0.149	EMPTY
GE1105900	2.73	GOOD
GE1105904	0.083	EMPTY
GE1105914	3.332	GOOD
GE1105944	20.498	GOOD
GE1105945	0.246	EMPTY
GE1105980	0.224	EMPTY
GE1105989	0.195	EMPTY
GE1105994	7.633	GOOD
GE1106001	1.042	GOOD
GE1106011	0.001	EMPTY
GE1106029	0.157	EMPTY
GE1106030	0.089	EMPTY
GE1106034	0.231	EMPTY
GE1106054	0.232	EMPTY
GE1106069	0.062	EMPTY
GE1106080	8.722	GOOD
GE1106081	1.019	GOOD
GE1106085	2.45	GOOD
GE1106091	0.24	EMPTY
GE1106105	0.269	EMPTY
GE1106113	0.58	GOOD
GE1106119	1.301	GOOD
GE1106120	0.305	EMPTY
GE1106134	0.947	GOOD
GE1106136	0.28	EMPTY
GE1106143	0.15	EMPTY
GE1106161	1.33	GOOD
GE1106171	0.172	EMPTY
GE1106172	12.055	GOOD
GE1106184	5.131	GOOD
GE1106195	1.176	GOOD
GE1106196	0.218	EMPTY
GE1106198	7.229	GOOD
GE1106203	-0.063	NEGATIVE
GE1106204	0.2	EMPTY
GE1106226	0.398	EMPTY
GE1106233	-0.008	NEGATIVE
GE1106240	0.262	EMPTY
GE1106247	0.335	EMPTY
GE1106248	0.147	EMPTY
GE1106251	-0.006	NEGATIVE
GE1106253	0.228	EMPTY
GE1106255	1.776	GOOD
GE1106264	0.486	EMPTY
GE1106278	0.763	GOOD
GE1106290	6.823	GOOD
GE1106291	0.254	EMPTY
GE1106299	1.348	GOOD
GE1106315	0.887	GOOD
GE1106324	0.204	EMPTY
GE1106331	0.423	EMPTY
GE1106335	84.426	GOOD
GE1106337	0.186	EMPTY
GE1106366	0.638	GOOD
GE1106373	0.282	EMPTY
GE1106402	0.55	GOOD
GE1106419	10.796	GOOD
GE1106431	0.715	GOOD
GE1106449	1.04	GOOD
GE1106460	12.61	GOOD
GE1106461	0.158	EMPTY
GE1106479	7.631	GOOD
GE1106481	0.028	EMPTY
GE1106495	0.336	EMPTY
GE1106528	0.786	GOOD
GE1106531	0.187	EMPTY
GE1106539	0.194	EMPTY
GE1106544	0.896	GOOD
GE1106563	72.558	GOOD
GE1106566	0.145	EMPTY
GE1106583	1.273	GOOD
GE1106586	44.539	GOOD
GE1106588	0.765	GOOD
GE1106589	0.174	EMPTY
GE1106598	12.831	GOOD
GE1106623	0.083	EMPTY
GE1106624	0.632	GOOD
GE1106625	0.158	EMPTY
GE1106637	8.594	GOOD
GE1106639	0.155	EMPTY
GE1106647	0.298	EMPTY
GE1106648	0.373	EMPTY
GE1106665	0.192	EMPTY
GE1106666	0.397	EMPTY
GE1106672	1.61	GOOD
GE1106673	0.197	EMPTY
GE1106674	1.126	GOOD
GE1106689	0.58	GOOD
GE1106696	3.771	GOOD
GE1106702	0.081	EMPTY
GE1106708	0.028	EMPTY
GE1106716	4.605	GOOD
GE1106720	0.082	EMPTY
GE1106725	0.342	EMPTY
GE1106740	8.435	GOOD
GE1106749	14.16	GOOD
GE1106758	6.774	GOOD
GE1106773	2.484	GOOD
GE1106781	1.054	GOOD
GE1106789	0.376	EMPTY
GE1106815	0.457	EMPTY
GE1106842	3.057	GOOD
GE1106860	1.044	GOOD
GE1106863	0.17	EMPTY
GE1106865	0.916	GOOD
GE1106878	0.163	EMPTY
GE1106902	0.282	EMPTY
GE1106909	0.267	EMPTY
GE1106916	4.663	GOOD
GE1106921	1.001	GOOD
GE1106932	0.772	GOOD
GE1106941	1.191	GOOD
GE1106947	0.347	EMPTY
GE1106954	0.145	EMPTY
GE1106957	14.868	GOOD
GE1106970	0.153	EMPTY
GE1106978	0.326	EMPTY
GE1106980	0.863	GOOD
GE1106982	0.249	EMPTY
GE1106984	0.06	EMPTY
GE1106985	1.438	GOOD
GE1106989	0.973	GOOD
GE1106993	0.038	EMPTY
GE1107002	0.225	EMPTY
GE1107018	0.187	EMPTY
GE1107021	0.857	GOOD
GE1107030	10.633	GOOD
GE1107042	1.272	GOOD
GE1107046	0.115	EMPTY
GE1107050	1.084	GOOD
GE1107051	0.197	EMPTY
GE1107067	0.298	EMPTY
GE1107077	0.097	EMPTY
GE1107094	50.775	GOOD
GE1107095	0.261	EMPTY
GE1107106	1.493	GOOD
GE1107120	0.734	GOOD
GE1107125	8.033	GOOD
GE1107127	0.866	GOOD
GE1107130	2.793	GOOD
GE1107131	0.165	EMPTY
GE1107133	0.071	EMPTY
GE1107168	3.96	GOOD
GE1107194	1.215	GOOD
GE1107206	2.676	GOOD
GE1107211	3.705	GOOD
GE1107213	9.062	GOOD
GE1107218	0.179	EMPTY
GE1107262	10.035	GOOD
GE1107269	0.221	EMPTY
GE1107275	5.129	GOOD
GE1107284	0.191	EMPTY
GE1107289	3.056	GOOD
GE1107290	4.4	GOOD
GE1107294	0.439	EMPTY
GE1107302	2.363	GOOD
GE1107314	0.111	EMPTY
GE1107316	0.265	EMPTY
GE1107324	5.428	GOOD
GE1107344	0.6	GOOD
GE1107345	0.578	GOOD
GE1107376	0.392	EMPTY
GE1107378	30.532	GOOD
GE1107388	0.246	EMPTY
GE1107390	0.059	EMPTY
GE1107395	0.144	EMPTY
GE1107396	0.894	GOOD
GE1107399	4.065	GOOD
GE1107403	0.879	GOOD
GE1107415	0.821	GOOD
GE1107435	1.475	GOOD
GE1107445	0.484	EMPTY
GE1107450	1.05	GOOD
GE1107451	2.56	GOOD
GE1107452	0.94	GOOD
GE1107454	0.088	EMPTY
GE1107457	8.082	GOOD
GE1107464	0.39	EMPTY
GE1107472	1.597	GOOD
GE1107475	0.101	EMPTY
GE1107493	5.748	GOOD
GE1107509	0.157	EMPTY
GE1107517	0.209	EMPTY
GE1107523	0.099	EMPTY
GE1107543	39.321	GOOD
GE1107545	0.276	EMPTY
GE1107552	2.725	GOOD
GE1107565	35.899	GOOD
GE1107570	0.228	EMPTY
GE1107575	37.022	GOOD
GE1107583	0.416	EMPTY
GE1107602	1.467	GOOD
GE1107613	0.204	EMPTY
GE1107615	2.6	GOOD
GE1107629	0.716	GOOD
GE1107634	0.173	EMPTY
GE1107638	1.201	GOOD
GE1107647	0.862	GOOD
GE1107656	11.141	GOOD
GE1107667	0.219	EMPTY
GE1107686	0.142	EMPTY
GE1107694	14.662	GOOD
GE1107710	43.664	GOOD
GE1107718	0.237	EMPTY
GE1107719	0.705	GOOD
GE1107726	0.189	EMPTY
GE1107730	1.769	GOOD
GE1107733	0.812	GOOD
GE1107744	0.053	EMPTY
GE1107746	2.765	GOOD
GE1107756	0.071	EMPTY
GE1107757	0.22	EMPTY
GE1107760	0.137	EMPTY
GE1107783	0.23	EMPTY
GE1107788	9.926	GOOD
GE1107793	0.739	GOOD
GE1107795	0.136	EMPTY
GE1107799	1.629	GOOD
GE1107807	2.22	GOOD
GE1107813	0.151	EMPTY
GE1107817	3.892	GOOD
