Reporter Identifier	T00247074 normalised intensity	T00247074 quality flag
GE1106916	4.785	GOOD
GE1106921	0.949	GOOD
GE1106932	0.884	GOOD
GE1106941	1.26	GOOD
GE1106947	0.489	GOOD
GE1106954	0.076	EMPTY
GE1106957	16.101	GOOD
GE1106970	0.154	EMPTY
GE1106978	0.11	EMPTY
GE1106980	1.068	POOR
GE1106982	0.256	EMPTY
GE1106984	0.119	EMPTY
GE1106985	1.598	GOOD
GE1106989	0.875	GOOD
GE1106993	0.135	EMPTY
GE1107002	0.118	EMPTY
GE1107018	0.25	EMPTY
GE1107021	1.114	GOOD
GE1107030	13.668	GOOD
GE1107042	1.11	GOOD
GE1107046	-0.008	NEGATIVE
GE1107050	1.117	GOOD
GE1107051	0.147	EMPTY
GE1107067	0.154	EMPTY
GE1107077	0.179	EMPTY
GE1107094	40	GOOD
GE1107095	0.116	EMPTY
GE1107106	1.808	GOOD
GE1107120	0.67	GOOD
GE1107125	8.795	GOOD
GE1107127	0.814	GOOD
GE1107130	3.345	GOOD
GE1107131	0.112	EMPTY
GE1107133	0.138	EMPTY
GE1107168	4.693	GOOD
GE1107194	1.095	GOOD
GE1107206	2.27	GOOD
GE1107211	2.985	GOOD
GE1107213	9.477	GOOD
GE1107218	0.103	EMPTY
GE1107262	12.298	GOOD
GE1107269	0.252	EMPTY
GE1107275	5.78	GOOD
GE1107284	0.114	EMPTY
GE1107289	4.855	GOOD
GE1107290	4.025	GOOD
GE1107294	0.246	EMPTY
GE1107302	2.487	GOOD
GE1107314	0.016	EMPTY
GE1107316	0.505	EMPTY
GE1107324	5.185	GOOD
GE1107344	0.477	GOOD
GE1107345	0.594	GOOD
GE1107376	0.171	EMPTY
GE1107378	27.431	GOOD
GE1107388	0.138	EMPTY
GE1107390	0.062	EMPTY
GE1107395	0.283	EMPTY
GE1107396	0.762	GOOD
GE1107399	4.528	GOOD
GE1107403	0.827	GOOD
GE1107415	1.004	POOR
GE1107435	1.234	GOOD
GE1107445	0.244	EMPTY
GE1107450	1.069	GOOD
GE1107451	2.498	GOOD
GE1107452	1.203	GOOD
GE1107454	0.188	EMPTY
GE1107457	9.882	GOOD
GE1107464	0.173	EMPTY
GE1107472	1.735	GOOD
GE1107475	0.205	EMPTY
GE1107493	5.793	GOOD
GE1107509	0.086	EMPTY
GE1107517	0.12	EMPTY
GE1107523	0.123	EMPTY
GE1107543	34.924	GOOD
GE1107545	0.278	EMPTY
GE1107552	2.678	GOOD
GE1107565	36.905	GOOD
GE1107570	0.481	EMPTY
GE1107575	34.436	GOOD
GE1107583	0.469	GOOD
GE1107602	1.504	GOOD
GE1107613	0.256	EMPTY
GE1107615	2.745	GOOD
GE1107629	0.734	GOOD
GE1107634	0.066	EMPTY
GE1107638	1.043	GOOD
GE1107647	0.803	GOOD
GE1107656	13.099	GOOD
GE1107667	0.141	EMPTY
GE1107686	0.207	EMPTY
GE1107694	15.244	GOOD
GE1107710	43.273	GOOD
GE1107718	0.143	EMPTY
GE1107719	0.865	GOOD
GE1107726	0.227	EMPTY
GE1107730	1.628	GOOD
GE1107733	1.006	GOOD
GE1107744	0.022	EMPTY
GE1107746	2.845	GOOD
GE1107756	0.097	EMPTY
GE1107757	0.083	EMPTY
GE1107760	0.142	EMPTY
GE1107783	0.39	EMPTY
GE1107788	10.537	GOOD
GE1107793	0.79	GOOD
GE1107795	0.275	EMPTY
GE1107799	2.083	GOOD
GE1107807	2.956	GOOD
GE1107813	0.105	EMPTY
GE1107817	3.931	GOOD
