Reporter Identifier	T00275905 normalised intensity	T00275905 quality flag
GE1102401	0.132	EMPTY
GE1102419	0.659	GOOD
GE1102420	9.979	GOOD
GE1102422	-0.001	NEGATIVE
GE1102432	0.232	EMPTY
GE1102436	1.076	GOOD
GE1102439	11.708	GOOD
GE1102461	1.205	GOOD
GE1102464	0.167	EMPTY
GE1102465	0.104	EMPTY
GE1102466	0.153	EMPTY
GE1102468	1.292	GOOD
GE1102488	NA	MSR
GE1102495	1.683	POOR
GE1102501	1.516	GOOD
GE1102524	0.049	EMPTY
GE1102526	0.216	EMPTY
GE1102559	0.11	EMPTY
GE1102564	11.572	GOOD
GE1102588	0.695	GOOD
GE1102599	0.326	EMPTY
GE1102600	0.161	EMPTY
GE1102609	0.582	GOOD
GE1102617	6.517	GOOD
GE1102623	0.5	GOOD
GE1102634	1.603	GOOD
GE1102645	4.574	GOOD
GE1102654	1.751	GOOD
GE1102657	0.505	GOOD
GE1102660	-0.012	NEGATIVE
GE1102670	0.242	EMPTY
GE1102675	0.195	EMPTY
GE1102694	0.476	GOOD
GE1102696	1.282	GOOD
GE1102699	0.719	GOOD
GE1102707	0.075	EMPTY
GE1102709	0.176	EMPTY
GE1102732	1.772	GOOD
GE1102743	8.085	GOOD
GE1102747	1.993	GOOD
GE1102760	10.513	GOOD
GE1102770	1.257	GOOD
GE1102784	0.124	EMPTY
GE1102806	0.855	GOOD
GE1102809	0.173	EMPTY
GE1102812	1.218	GOOD
GE1102817	2.352	GOOD
GE1102826	0.882	EMPTY
GE1102827	0.669	GOOD
GE1102835	23.336	GOOD
GE1102862	0.996	GOOD
GE1102864	0.192	EMPTY
GE1102884	0.116	EMPTY
GE1102886	5.834	GOOD
GE1102905	0.122	EMPTY
GE1102907	1.277	GOOD
GE1102914	0.107	EMPTY
GE1102915	0.231	EMPTY
GE1102919	0.151	EMPTY
GE1102944	0.773	GOOD
GE1102946	0.265	EMPTY
GE1102947	0.081	EMPTY
GE1102956	9.199	GOOD
GE1102965	0.238	EMPTY
GE1102983	0.472	GOOD
GE1102995	5.073	GOOD
GE1102996	1.024	GOOD
GE1103006	5.394	GOOD
GE1103035	2.515	GOOD
GE1103039	1.658	POOR
GE1103042	0.143	EMPTY
GE1103044	4.014	GOOD
GE1103052	0.118	EMPTY
GE1103056	4.195	GOOD
GE1103078	43.913	GOOD
GE1103079	0.279	EMPTY
GE1103084	0.22	EMPTY
GE1103091	0.073	EMPTY
GE1103092	2.144	GOOD
GE1103095	0.293	EMPTY
GE1103097	0.335	EMPTY
GE1103100	0.167	EMPTY
GE1103108	0.141	EMPTY
GE1103116	0.792	GOOD
GE1103126	5.538	GOOD
GE1103141	0.144	EMPTY
GE1103153	0.332	EMPTY
GE1103159	0.506	GOOD
GE1103162	0.367	EMPTY
GE1103173	0.731	GOOD
GE1103185	4.42	GOOD
GE1103205	29.295	GOOD
GE1103219	0.306	EMPTY
GE1103230	0.51	GOOD
GE1103238	1.151	GOOD
GE1103241	0.216	EMPTY
GE1103252	0.318	EMPTY
GE1103255	0.216	EMPTY
GE1103261	0.018	EMPTY
GE1103262	2.535	GOOD
GE1103266	0.14	EMPTY
GE1103270	3.268	GOOD
GE1103282	0.204	EMPTY
GE1103283	0.093	EMPTY
GE1103289	1.219	GOOD
GE1103292	0.105	EMPTY
GE1103304	5.411	GOOD
GE1103305	71.192	GOOD
GE1103310	8.974	GOOD
GE1103357	2.698	GOOD
GE1103365	1.28	GOOD
GE1103376	2.906	GOOD
GE1103389	0.12	EMPTY
GE1103391	0.065	EMPTY
GE1103406	0.372	EMPTY
GE1103413	24.072	GOOD
GE1103424	0.952	GOOD
GE1103429	0.296	EMPTY
GE1103433	35.551	GOOD
GE1103441	1.137	POOR
GE1103458	0.15	EMPTY
GE1103478	0.082	EMPTY
GE1103490	5.833	GOOD
GE1103491	0.264	EMPTY
GE1103492	8.854	GOOD
GE1103505	0.893	GOOD
GE1103522	9.049	GOOD
GE1103523	0.291	EMPTY
GE1103524	0.92	GOOD
GE1103529	1.004	GOOD
GE1103531	1.643	GOOD
GE1103532	2.082	GOOD
GE1103550	0.126	EMPTY
GE1103552	0.275	EMPTY
GE1103557	0.777	GOOD
GE1103578	0.075	EMPTY
GE1103605	3.758	GOOD
GE1103606	0.209	EMPTY
GE1103614	0.09	EMPTY
GE1103615	0.158	EMPTY
GE1103623	0.434	GOOD
GE1103633	0.111	EMPTY
GE1103635	2.754	GOOD
GE1103641	0.158	EMPTY
GE1103644	0.23	EMPTY
GE1103679	1.641	GOOD
GE1103681	4.2	GOOD
GE1103689	8.519	GOOD
GE1103698	0.235	EMPTY
GE1103709	0.698	POOR
GE1103717	0.693	GOOD
GE1103739	1.611	GOOD
GE1103753	3.905	GOOD
GE1103758	0.138	EMPTY
GE1103759	0.17	EMPTY
GE1103764	0.083	EMPTY
GE1103791	2.523	GOOD
GE1103796	NA	MSR
GE1103797	0.504	GOOD
GE1103809	0.295	EMPTY
GE1103811	0.256	EMPTY
GE1103814	1.767	GOOD
GE1103820	0.771	GOOD
GE1103826	1.432	GOOD
GE1103828	1.841	GOOD
GE1103845	2.008	GOOD
GE1103849	0.753	GOOD
