Symbol	Vehicle_2_17_norm
1700013H16Rik	7.861301683
1700016C15Rik	9.888633665
1700017B05Rik	10.02155888
1700017D01Rik	7.152956766
1700018F24Rik	7.046041562
1700018L02Rik	5.960311688
1700019G17Rik	7.073072761
1700019L03Rik	6.535426403
1700020I14Rik	10.16505841
1700021F05Rik	9.894423753
1700021K19Rik	10.8034934
1700024P16Rik	7.448651115
1700025G04Rik	8.76766661
1700025N23Rik	6.649382592
1700028J19Rik	8.228244894
1700029J07Rik	8.264465082
1700030J22Rik	7.126961558
1700030K09Rik	8.417064207
1700034H15Rik	6.884760655
1700037C18Rik	7.915457453
1700037H04Rik	9.949228189
1700040L02Rik	9.279292499
1700047E10Rik	6.974958464
1700049G17Rik	8.389995964
1700052K11Rik	8.612388385
1700052N19Rik	9.100489346
1700055N04Rik	7.311386129
1700063D05Rik	7.443633927
1700066M21Rik	9.133504404
1700067K01Rik	6.299798155
1700067P10Rik	6.276339182
1700071K01Rik	9.50294878
1700073E17Rik	9.79475049
1700084J12Rik	7.989458034
1700088E04Rik	8.222118791
1700091H14Rik	5.203582839
1700094D03Rik	8.771866599
1700096K18Rik	6.78854534
1700097N02Rik	6.25249244
1700101I11Rik	6.100489346
1700112E06Rik	9.584006584
1700113A16Rik	8.800929065
1700123O12Rik	7.073522299
1700123O20Rik	10.55749014
1810009A15Rik	9.31842092
1810010H24Rik	6.474884861
1810011H11Rik	6.389995964
1810011O10Rik	10.50041995
1810013L24Rik	11.49280677
1810014B01Rik	8.631004063
1810019D21Rik	9.380126631
1810021B22Rik	7.018027186
1810022K09Rik	10.01448683
1810026B05Rik	9.709736499
1810026J23Rik	11.46194581
1810030O07Rik	10.48259296
1810032O08Rik	7.875947346
1810034E14Rik	6.8691638
1810037I17Rik	10.9767789
1810041L15Rik	7.40088428
1810043G02Rik	9.932441632
1810043H04Rik	9.477458805
1810044D09Rik	6.8691638
1810055G02Rik	8.904022558
1810058I24Rik	11.26263519
1810065E05Rik	5.631004063
2010001E11Rik	6.649382592
2010002M12Rik	6.367969657
2010003K11Rik	5.960311688
2010012O05Rik	8.8691638
2010015L04Rik	7.485660984
2010107E04Rik	12.00113257
2010107G12Rik	7.059847362
2010107G23Rik	8.146501744
2010111I01Rik	8.39699604
2010300C02Rik	6.915457453
2010315B03Rik	9.55259968
2010320M18Rik	8.464542917
2200002D01Rik	8.010937761
2210011C24Rik	8.653940874
2210013O21Rik	8.759229773
2210015D19Rik	9.379024846
2210016F16Rik	10.914508
2210016L21Rik	10.82234805
2210018M11Rik	9.945514686
2210039B01Rik	6.720641276
2210404O09Rik	7.389995964
2210408F21Rik	7.135646281
2210408I21Rik	8.579221521
2300009A05Rik	8.729306137
2310001H17Rik	9.189278243
2310003H01Rik	9.567188966
2310007B03Rik	8.554923469
2310009A05Rik	8.550172989
2310009B15Rik	7.003813327
2310010J17Rik	6.929310917
2310011J03Rik	10.32144981
2310014L17Rik	6.960311688
2310015A10Rik	8.427750886
2310022A10Rik	7.893135495
2310022B05Rik	10.90784427
2310030G06Rik	10.05296098
2310033P09Rik	8.907844268
2310035C23Rik	10.72170109
2310036O22Rik	11.33783211
2310039H08Rik	9.430410232
2310045N01Rik	9.773962017
2310047M10Rik	9.219045957
2310057J18Rik	8.299798155
2310057M21Rik	8.191091895
2310061I04Rik	10.93712419
2310061J03Rik	6.853396484
2310067B10Rik	12.02420198
2410002F23Rik	9.991260277
2410004B18Rik	9.052960976
2410004N09Rik	7.562785645
2410006H16Rik	8.771866599
2410015M20Rik	11.92397454
2410016O06Rik	8.480028164
2410017I17Rik	8.010937761
2410089E03Rik	10.15938304
2410127L17Rik	10.36519257
2410131K14Rik	9.33712369
2500004C02Rik	7.845447731
2510002D24Rik	9.602989687
2510003E04Rik	11.27559991
2510009E07Rik	10.51802935
2510039O18Rik	11.73200327
2510049J12Rik	8.234345093
2610001J05Rik	10.43967953
2610002J02Rik	9.598110234
2610002M06Rik	10.30994271
2610005L07Rik	10.61706487
2610008E11Rik	9.696541026
2610015P09Rik	9.021558877
2610018G03Rik	8.003813327
2610020H08Rik	8.400925058
2610027K06Rik	5.805033463
2610028H24Rik	5.930564345
2610034B18Rik	10.01093776
2610034M16Rik	6.631004063
2610044O15Rik8	8.209787989
2610203C20Rik	7.813207394
2610203C22Rik	6.152956766
2610301B20Rik	11.67371574
2610306M01Rik	7.729306137
2610318N02Rik	7.178491858
2610507B11Rik	14.39553546
2610507I01Rik	7.55505521
2610528J11Rik	10.43703723
