Symbol	MMF_2_14_norm
2610027K06Rik	5.932741791
2610028H24Rik	7.472261321
2610034B18Rik	10.0895598
2610034M16Rik	6.28783675
2610044O15Rik8	8.588626077
2610203C20Rik	7.364458031
2610203C22Rik	7.495161723
2610301B20Rik	10.01030277
2610306M01Rik	7.890181329
2610318N02Rik	7.528844849
2610507B11Rik	14.44348296
2610507I01Rik	7.413367632
2610528J11Rik	10.99230634
2700029M09Rik	9.495161723
2700046A07Rik	5.676402038
2700046G09Rik	7.150333226
2700049A03Rik	8.585900202
2700054A10Rik	6.613636597
2700060E02Rik	12.27051925
2700062C07Rik	9.110103381
2700081O15Rik	8.630598348
2700089E24Rik	11.70184924
2700094K13Rik	8.040866175
2700097O09Rik	7.906724786
2700099C18Rik	7.300892902
2810001G20Rik	7.696301595
2810002D19Rik	7.351967087
2810004N23Rik	10.23609778
2810006K23Rik	8.12118688
2810008D09Rik	9.087677618
2810013P06Rik	10.21383617
2810021J22Rik	8.911618499
2810025M15Rik	9.457761751
2810029C07Rik	7.192977563
2810032G03Rik	6.593939877
2810047C21Rik1	5.506477036
2810403A07Rik	11.74965102
2810408A11Rik	7.376841756
2810408M09Rik	8.454844268
2810410L24Rik	8.261364538
2810417H13Rik	3.828405131
2810428I15Rik	10.00432887
2810474O19Rik	12.48327979
2900005J15Rik	8.061065888
2900009J06Rik	6.898794459
2900026A02Rik	11.17003514
2900076A07Rik	6.998330132
2900092D14Rik	9.274661361
2900097C17Rik	13.59592752
3000002C10Rik	9.297639925
3010026O09Rik	9.237796067
3110001I22Rik	6.828405131
3110002H16Rik	9.514905658
3110021N24Rik	7.425340273
3110035E14Rik	5.413367632
3110040N11Rik	8.75440455
3110043O21Rik	9.21038061
3110052M02Rik	7.389120085
3110056K07Rik	7.33936705
3110057O12Rik	9.413367632
3110062M04Rik	6.922922043
3110079O15Rik	6.932741791
3110082I17Rik	7.915867972
3110099E03Rik	7.030038992
3632451O06Rik	8.671383963
3830406C13Rik	7.415977534
4430402I18Rik	7.810257784
4632415L05Rik	10.72806416
4632428N05Rik	8.841756756
